hash,name,signature,note
00415950,Game_SetMusicVolume,void Game_SetMusicVolume(float volume),Live-sets music volume through the profile real-value setter (fcn.004B8A50): retail body constructs 1.0f (0x3FF00000) and stores via fstp. Param: volume = float 0.0-1.0. Called by ingamemenu.qvm optio
004159B0,Game_SetSFXVolume,void Game_SetSFXVolume(float volume),Live-sets sound-effects volume through the profile real-value setter (fcn.004B8A50); same 1.0f construction pattern. Param: volume = float 0.0-1.0. Called by ingamemenu.qvm options sliders.
004174A0,MenuManager_RequestScreen,void MenuManager_RequestScreen(int screenId, int flags),Requests a menu screen by id through the menu manager (queued request). Params: screenId = retail screen resource id; flags = request modifier (0 = normal). Use outside the menu stack internals when y
00417790,MenuManager_LeaveMenus,void MenuManager_LeaveMenus(int param1, int param2),Leaves/closes the whole menu system returning to gameplay. Params: two ints observed in retail calls (pass 0;0). Use to exit from custom menus.
00417810,MenuManager_SetLanguage,void MenuManager_SetLanguage(int langIndex),Switches menu/UI language at runtime. Param: langIndex = language index matching the LANGUAGE\ folder tables. Call before pushing screens so texts load in the right language.
00417690,MenuManager_PushScreen,void MenuManager_PushScreen(int screenId),Pushes a screen onto the menu stack: allocates the screen object (objsize 0x2898) and stores it in the manager's screen stack at mgr+0x27EC (verified in igi.exe). Param: screenId = retail screen id. R
00417710,MenuManager_PopScreen,void MenuManager_PopScreen(int param),Pops the top screen off the menu stack (destroys it) revealing the one beneath. Param: param = pass-through argument observed in retail calls (pass 0). Pair with MenuManager_PushScreen.
00417880,MenuManager_ForceUpdateWindow,void MenuManager_ForceUpdateWindow(int param),Forces the menu manager to redraw/update its windows this frame. Param: observed retail value 0. Use after changing control contents from script.
00417900,MenuManager_ActivatePopupScreen,void MenuManager_ActivatePopupScreen(int popupId),Activates a popup screen on top of the current menus (e.g. confirmation dialogs; retail scripts call MenuManager_ActivatePopupScreen(930)). Param: popupId = retail popup screen id. Use for custom conf
00417960,MenuManager_DeactivatePopuScreen,void MenuManager_DeactivatePopupScreen(),Deactivates the currently-active popup screen and returns to the screen beneath. Takes no args. Pair with MenuManager_ActivatePopupScreen. NOTE: name mirrors the retail registration string exactly; in
004179B0,MenuManager_SetEnabled,void MenuManager_SetEnabled(int enabled),Enables/disables menu-manager input processing. Param: enabled = 1 menus react to input; 0 frozen. Use to freeze menus during scripted sequences.
004231E0,ControlsMenu_ConvertFloatFromOffset,float ControlsMenu_ConvertFloatFromOffset(int offset),Converts a controls-menu slider/storage OFFSET into its float value (0.0-1.0 range used by the control configuration bars). Param: offset = raw integer offset stored for that control binding. Use when
00423240,ControlsMenu_ConvertOffsetFromFloat,int ControlsMenu_ConvertOffsetFromFloat(float value),Inverse of ControlsMenu_ConvertFloatFromOffset: converts a float control value into the raw storage offset. Param: value = float 0.0-1.0. Use when saving a modified binding back.
0044D0E0,AIAction_Patrol,void AIAction_Patrol(int target, int mustBeZero, int flags),Orders the AI into PATROL behaviour. Params: target = patrol goal/node reference from your script; mustBeZero = retail template always passes 0; flags = AIACTIONFLAG enum: NONE=0; PUSHABLE=1 (action m
0044D160,AIAction_Combat,void AIAction_Combat(int param),Orders the AI into COMBAT behaviour vs its current enemy. Param: param = combat argument from the calling script (retail guard scripts pass their combat target/context value). Use in AIEVENT_COMBAT br
0044D260,AIAction_Dead,void AIAction_Dead(int param),Runs the DEATH handling action for the AI (plays death; releases tasks). Param: param = death context value passed by retail scripts. Use in AIEVENT_DEAD handler.
0044D2C0,AIAction_FallFlat,void AIAction_FallFlat(int param1, int param2),Knocks the AI flat on the ground (ragdoll-ish fall; e.g. after explosion/surrender). Params: two ints observed in retail calls (pass 0;0 unless mapping specific values). Use for scripted knockdowns.
0044D420,AIAction_Activate,void AIAction_Activate(int target, int param2, int flags),Generic ACTIVATE action: sends the AI to activate/use an object (switch; door; alarm...). Params: target = object/task reference; param2 = secondary value (retail passes 0); flags = AIACTIONFLAG (NONE
0044D4A0,AIAction_WalkToNode,void AIAction_WalkToNode(int nodeId, int flags),Walks the AI to a nav node. Params: nodeId = graph/node id from the level nav data; flags = AIACTIONFLAG (NONE=0/PUSHABLE=1). Use for calm movement in AI scripts.
0044D510,AIAction_RunToNode,void AIAction_RunToNode(int nodeId, int flags),Runs the AI to a nav node (fast). Same params as AIAction_WalkToNode: nodeId = node id; flags = AIACTIONFLAG (NONE=0/PUSHABLE=1).
0044D580,AIAction_FireAtNode,void AIAction_FireAtNode(int nodeId, int p1, int p2, int p3, int p4),Makes the AI fire AT a nav-node position. Params: nodeId = target node id; remaining 4 args = firing stance/behaviour values observed in retail AI scripts (map before inventing values). Use in combat 
0044D630,AIAction_FireAtTask,void AIAction_FireAtTask(int taskId, int p1, int p2, int p3, int p4),Makes the AI fire AT a task/object entity. Params: taskId = target task/entity id; remaining 4 args = firing behaviour values (same layout family as FireAtNode). Use in combat handlers when target is 
0044D6E0,AIAction_PlayAnimation,void AIAction_PlayAnimation(int animationId, int flags),Plays an animation on the AI. Params: animationId = animation entry id (see AIFunction_AddAnimationEntry); flags = AIACTIONFLAG (NONE=0/PUSHABLE=1).
0044D750,AIAction_PlaySound,void AIAction_PlaySound(int soundId, int param2, int flags),Plays a sound from the AI (voice barks etc.). Params: soundId = sound/event id; param2 = observed 0 in retail; flags = AIACTIONFLAG (NONE=0/PUSHABLE=1).
0044D7D0,AIAction_MoveToEvent,void AIAction_MoveToEvent(int eventId, int flags),Moves the AI toward the source position of an EVENT it received. Params: eventId = AIEVENT_* whose position to move to; flags = AIACTIONFLAG (NONE=0/PUSHABLE=1). Use in event handlers (gunshot heard -
0044D870,AIAction_LookAtEvent,void AIAction_LookAtEvent(int eventId, int flags),Turns the AI to LOOK toward an event's source without moving. Params: eventId = AIEVENT_* value; flags = AIACTIONFLAG (NONE=0/PUSHABLE=1).
0044D8F0,AIAction_Stunned,void AIAction_Stunned(int param1, int flags),Stuns the AI (flashbang/knockout reaction). Params: param1 = stun duration/context value; flags = AIACTIONFLAG (NONE=0/PUSHABLE=1).
0044D960,AIAction_KickGrenade,void AIAction_KickGrenade(int param),Kicks a nearby live grenade away (retail soldier behaviour). Param: param = grenade/context reference from the event. Use in grenade-event handlers.
0044DA00,AIAction_RunPanicking,void AIAction_RunPanicking(int param1, int flags),Sends the AI into PANIC running (civilians under fire). Params: param1 = panic target/context; flags = AIACTIONFLAG (NONE=0/PUSHABLE=1).
0044DA80,AIAction_Idle,void AIAction_Idle(int param),Puts the AI into IDLE (stands; resumes idle animation countdown). Param: idle context value (retail scripts pass their idle value). Use in AIEVENT_IDLE handler instead of Patrol for stationary guards.
0044DAE0,AIAction_SetCombat,void AIAction_SetCombat(int enemyId),Force-sets the AI's COMBAT ENEMY/target. Param: enemyId = enemy entity/id to engage. Use to make an AI attack a specific target regardless of detection.
0044E060,AIFunction_DefaultHandler,void AIFunction_DefaultHandler(),The default AI event handler: call this for any AIEVENT_* your script does not handle explicitly (retail template shows it as the else-branch body). Takes no args. Put inside every event if-else chain
0044DBC0,AIFunction_RemoveAlarmActions,void AIFunction_RemoveAlarmActions(),Removes all queued ALARM-related actions from this AI (calms it down). Takes no args. Use to de-escalate an NPC you control.
0044DC40,AIFunction_SetViewLength,void AIFunction_SetViewLength(int length),Sets this AI's VIEW LENGTH - how far it can see. Param: length = view distance in engine units. Use in AI init (AIEVENT_CREATE) to buff/nerf vision.
0044DCD0,AIFunction_SetAlarmViewLength,void AIFunction_SetAlarmViewLength(int length),Sets view length WHILE AN ALARM IS ON (separate stat from normal vision). Param: length = distance in engine units. Use in AI init.
0044DD30,AIFunction_SetViewAlpha,void AIFunction_SetViewAlpha(int alpha),Sets view ALPHA - the detection speed/gain of normal vision. Param: alpha = engine detection factor. Higher = spots player faster. Use in AIEVENT_CREATE.
0044DD90,AIFunction_SetViewGamma,void AIFunction_SetViewGamma(int gamma),Sets view GAMMA - secondary vision shaping factor for detection. Param: gamma = engine factor. Use in AI init alongside SetViewAlpha.
0044DDF0,AIFunction_SetSecondaryViewLength,void AIFunction_SetSecondaryViewLength(int length),Sets SECONDARY view length (peripheral/short-range channel). Param: length = distance in engine units.
0044DE80,AIFunction_SetSecondaryAlarmViewLength,void AIFunction_SetSecondaryAlarmViewLength(int length),Sets secondary view length during alarms. Param: length = distance in engine units.
0044DEE0,AIFunction_SetSecondaryViewAlpha,void AIFunction_SetSecondaryViewAlpha(int alpha),Sets secondary-view detection gain. Param: alpha = engine factor.
0044DF40,AIFunction_SetSecondaryViewGamma,void AIFunction_SetSecondaryViewGamma(int gamma),Sets secondary-view gamma shaping factor. Param: gamma = engine factor.
0044E0C0,AIFunction_SetEventPriority,void AIFunction_SetEventPriority(int priority),Sets the priority of the CURRENT event being handled (decides which queued event wins). Param: priority = engine priority number. Use inside an event handler.
0044E150,AIFunction_SetInvulnerability,void AIFunction_SetInvulnerability(int onOff),Makes this AI invulnerable. Param: onOff = 1 immune to damage; 0 normal. Great for boss/scripted NPCs. Use in AIEVENT_CREATE or anytime.
0044E1B0,AIFunction_SetInstantDeath,void AIFunction_SetInstantDeath(int onOff),When on; any hit instantly kills this AI (no damage pooling). Param: onOff = 1 one-shot kills; 0 normal health. Use for scripted one-shot enemies.
0044E210,AIFunction_SetDeathAnimation,void AIFunction_SetDeathAnimation(int animId),Overrides the death animation played when this AI dies. Param: animId = animation entry id. Use in AI init for custom deaths.
0044E270,AIFunction_SetAlarmTriggerID,void AIFunction_SetAlarmTriggerID(int id),Binds an ALARM trigger object to this AI (which alarm switch it responds to/runs to). Param: id = alarm trigger id from the level. Retail template: AIFunction_SetAlarmTriggerID(xx).
0044E2D0,AIFunction_SetAlarmControlID,void AIFunction_SetAlarmControlID(int id),Binds the ALARM CONTROL (the raised-alarm device) this AI uses. Param: id = alarm control id from the level. Retail template: AIFunction_SetAlarmControlID(xx).
0044E330,AIFunction_SetAlarmAccess,void AIFunction_SetAlarmAccess(int access),Sets HOW the AI treats the alarm route. Param: access = AIALARMACCESS enum: BEFORECOMBAT=0 (run for the alarm first); AFTERCOMBAT=1 (fight first; raise alarm after). Retail template: AIFunction_SetAla
0044E390,AIFunction_SetGunnerID,void AIFunction_SetGunnerID(int gunnerId),Assigns which mounted-gunner slot this AI mans. Param: gunnerId = gunner position id. Use in AI init for turret/mounted-gun NPCs.
0044E6D0,AIFunction_SetScriptIntegerValue,void AIFunction_SetScriptIntegerValue(int varId, int value),Writes an AI-script integer variable. Params: varId = script variable index; value = new integer. Use for custom AI state communication between scripts.
0044E790,AIFunction_SetScriptRealValue,void AIFunction_SetScriptRealValue(int varId, float value),Writes an AI-script real (float) variable. Params: varId = script variable index; value = float. Pairs with AIFunction_GetScriptRealValue.
0044EAF0,AIFunction_SetAnimationInterval,void AIFunction_SetAnimationInterval(int entryIndex, int interval),Sets playback INTERVAL for an animation entry. Params: entryIndex = animation entry added via AddAnimationEntry; interval = frame/tick interval. Use when tuning scripted animations.
0044EBB0,AIFunction_AddAnimationEntry,void AIFunction_AddAnimationEntry(int animationId, int data),Adds an animation ENTRY to this AI's available set (builds the pick-list GetAnimationToPlay draws from). Params: animationId = animation resource id; data = entry config value. Use in AIEVENT_CREATE b
0044EE40,AIFunction_SendResponse,void AIFunction_SendResponse(),Sends the AI's RESPONSE to the current event (used for ALERT_RESPONSE chains so buddy AIs react too). Takes no args. Call inside alert handlers.
0047CAD0,DefineAmmoType,void DefineAmmoType(...),Defines an AMMO TYPE inside an ammo definition block of a .qsc/.cfg script (515-byte parser body; igi.exe embeds str 'DefineAmmoType'). Args follow the Define-ammo grammar (name; damage; range; clip..
00484F60,DefineMission,void DefineMission(...),Defines a MISSION entry during mission-list parsing (480-byte parser). Called by the engine's mission definition grammar; do NOT call from gameplay scripts.
00488E00,LevelFlow_GetBreakCutSceneKey,int LevelFlow_GetBreakCutSceneKey(),RETURNS the key code currently bound to 'skip/break cutscene'. Takes no args. Use in cutscene player loops to detect the skip key press.
00488E50,LevelFlow_LevelFailed,void LevelFlow_LevelFailed(),Signals that the level FAILED - triggers the retail failure flow (fail sound; restart/quit menu). Takes no args. Call when your scripted objective fails.
00488E90,LevelFlow_IsCountryUSA,int LevelFlow_IsCountryUSA(),RETURNS 1 if the running build is a USA country build; 0 otherwise (affects censorship/content paths like blood). Takes no args. Check before enabling content that country builds gate.
004B8C60,_Script_SetWarningLevel,void Script_SetWarningLevel(int level),Sets how loudly the script system reports warnings while parsing/running (igi.exe embeds its name WITH leading underscore: '_Script_SetWarningLevel'). Param: level = warning verbosity threshold. Use a
004B8C10,BreakScript,void BreakScript(),Breaks/aborts the currently-executing script at this point (70-byte function). Takes no args. Use as an early-exit inside .qsc scripts.
004C4520,DefineMagicObj,void DefineMagicObj(...),Defines a MAGIC OBJECT type during magicobj definition parsing (pairs with the MAGICOBJ\ folder data). Parser-context only.
004C6760,CreateTerrainTileMap,void CreateTerrainTileMap(...),Creates the TERRAIN TILE MAP for a level during level load (113-byte function). Engine-internal: called by the terrain loader; not meant for gameplay scripts.
004EBA90,DefineGroup,void DefineGroup(...),Defines a GROUP entry (sound-group/entity grouping) during definition parsing. Parser-context only.
004E8C60,DefineSound,void DefineSound(...),Defines a SOUND entry (file + attenuation params) inside sound definition blocks - OpenIGI reimplements it as SoundDefinitionRegistry.Define(SoundDefinitionKind.Sound). Call only from sound .qsc defin
004EAD20,DefineGraph,void DefineGraph(...),Defines a GRAPH (sound/graph transition graph) entry inside definition blocks - OpenIGI maps it to SoundDefinitionKind.Graph. Parser-context only.
004E9EC0,DefineTriggerOnce,void DefineTriggerOnce(...),Defines a fire-once TRIGGER entry inside definition blocks - OpenIGI maps it to SoundDefinitionKind.TriggerOnce. Parser-context only.
004F0780,Task_New,void Task_New(...),Instantiates a new game task from a declared type (731-byte factory; OpenIGI registers Task_New reading the type name then declared params). Call inside task blocks after Task_DeclareParameters; argc 
004F0740,Task_DeclareParameters,void Task_DeclareParameters(...),Declares the parameter list of the task currently being defined inside a .qsc task block (OpenIGI TaskScriptCommands implements it reading a type name + parameter names). Call as FIRST statement of a 
0044E3F0,AIFunction_GetAlarmTriggerID,int AIFunction_GetAlarmTriggerID(),RETURNS the id of the alarm trigger bound to this AI (see AIFunction_SetAlarmTriggerID). Takes no args. Use in handlers to check which alarm applies.
0044E430,AIFunction_GetAlarmControlID,int AIFunction_GetAlarmControlID(),RETURNS the bound alarm-control id. Takes no args.
0044E470,AIFunction_GetAlarmAccess,int AIFunction_GetAlarmAccess(),RETURNS the current AIALARMACCESS mode: BEFORECOMBAT=0; AFTERCOMBAT=1. Takes no args.
0044E4B0,AIFunction_GetGunnerID,int AIFunction_GetGunnerID(),RETURNS this AI's assigned gunner slot id. Takes no args.
0044E4F0,AIFunction_GetAlarmControlStatus,int AIFunction_GetAlarmControlStatus(),RETURNS the status/state of the bound alarm control (raised/used state as tracked by the engine). Takes no args.
0044E5E0,AIFunction_GetGunnerStatus,int AIFunction_GetGunnerStatus(),RETURNS the status of this AI's gunner post (manned/state value). Takes no args.
0044E740,AIFunction_GetScriptIntegerValue,int AIFunction_GetScriptIntegerValue(int varId),READS an AI-script integer variable written by AIFunction_SetScriptIntegerValue. Param: varId = variable index. RETURNS the integer.
0044DFA0,AIFunction_GetCurrentEventType,int AIFunction_GetCurrentEventType(),RETURNS the AIEVENT_* value currently being handled - the backbone of every AI script's if/else chain. Enum: CREATE=0; DELETE=1; DEAD=2; ANIMATION=3; IDLE=4; ALERT=5; ALERT_RESPONSE=6; COMBAT=7; ALARM
0044E860,AIFunction_IsEventBehind,int AIFunction_IsEventBehind(),RETURNS non-zero if the current event came from BEHIND the AI (direction test used for reaction animations). Takes no script args per retail table (engine reads an internal slot via ebp+8). Use in ale
0044ECB0,AIFunction_GetAnimationToPlay,int AIFunction_GetAnimationToPlay(),RETURNS which animation entry the engine decided to play for the current event/action (useful to log or override reactions). Per retail table takes no script args; machine code also touches an [ebp+8]
004048B0,Config_GraphicOptionsSetGamma,void Config_GraphicOptionsSetGamma(float gamma),Sets and immediately applies gamma to the active profile (also feeds the live lighting math through the profile record +0x220). Param: gamma = float (retail default 1.0). Use in video-options screen s
0044E800,AIFunction_GetScriptRealValue,float AIFunction_GetScriptRealValue(int varId),READS an AI-script real (float) variable. Param: varId = variable index. RETURNS the float.
0044E000,AIFunction_GetRandomValue,float AIFunction_GetRandomValue(float max),RETURNS a random value below 'max' (returns Real per retail table). Param: max = upper bound. Use for randomized behaviour delays/targets in AI scripts.
0044E930,AIFunction_GetEventDistance,float AIFunction_GetEventDistance(),RETURNS the DISTANCE to the source of the current event (Real). Takes no args. Use inside event handlers e.g. 'if gunshot closer than X then investigate'.
0044E9B0,AIFunction_GetAlarmTriggerDistance,float AIFunction_GetAlarmTriggerDistance(),RETURNS the distance between this AI and its bound ALARM TRIGGER (Real). Takes no args. Use to decide running vs fighting for the alarm.
0048F1A0,AppContextSetDebugged,void AppContext_SetDebugged(int8_t state),Sets the app-level DEBUGGED flag (global 0x5C8BF8). Param: state = 1 mark debugger attached/debug mode; 0 clear. BlankName's IGIPatch calls this by name. Use to toggle engine debug paths.
0048F1E0,AppContextSetDebugtextState,void AppContext_SetDebugtextState(int8_t state),Toggles on-screen DEBUG TEXT output (global 0x5C8BF4). Param: state = 1 show engine debug text; 0 hide. Handy while reverse-engineering other systems.
0048F240,AppContextSetLightmapsUsed,void AppContext_SetLightmapsUsed(int8_t used),Enables/disables OBJECT lightmaps globally (global 0x5C8BE4) - the verified retail lightmap setter. Param: used = 1 use object lightmaps; 0 flat-lit. Use for graphics enhancers (this is what IGIPatch'
0048F260,AppContextSetTerrainLightmapsUsed,void AppContext_SetTerrainLightmapsUsed(int8_t used),Enables/disables TERRAIN lightmaps globally (global 0x5C8BE8). Param: used = 1 lit terrain; 0 unlit. Pair with AppContext_SetLightmapsUsed for full lighting control.
0048F360,AppMainParseCmdLineArgs,void AppMain_ParseCmdLineArgs(char* cmdline),Parses the game COMMAND LINE (window mode; resolution and other launch switches; case-insensitive compare loops verified). IGIPatch hooks this for borderless-window support. Engine-internal; called fr
00404590,ConfigGetActiveGraphicOptions,void* Config_GetActiveGraphicOptions(),Returns a pointer to the ACTIVE PROFILE's graphic-options record inside the global config array. The record base is 0xBC2394 + 0xD14 * activeProfileIndex (verified in igi.exe). Useful for reading/writ
00491CF0,DisplayGetActiveMode,void* Display_GetActiveMode(),RETURNS pointer to the ACTIVE display-mode struct (global 0xC28B40): width/height/depth fields live at +0x4/+0x8/+0x10 per Display_SetMode comparisons. Takes no args. Read current resolution from here
00491E70,DisplaySetBackgroundColourFn,void Display_SetBackgroundColourFn(int8_t r, int8_t g, int8_t b),Sets the 3D-view BACKGROUND COLOUR (clear colour) - masks each arg to a byte into globals 0xBCADF0/R;G;B. Params: r;g;b = 0-255 colour channels. Use for custom sky/clear colour effects.
00491A90,DisplaySetMode,int Display_SetMode(void* modeStruct),Switches the DISPLAY MODE at runtime: validates mode fields vs current (0xC28B44...); repositions/resizes the window (GetSystemMetrics); copies the mode into the active-mode struct. Param: modeStruct 
004B6E80,PictureGetHeight,int Picture_GetHeight(void* picture),RETURNS the HEIGHT in pixels of a loaded picture/surface. Param: picture = picture pointer. Thin thunk to fcn.004B7E00.
004B6E70,PictureGetWidth,int Picture_GetWidth(void* picture),RETURNS the WIDTH in pixels of a loaded picture/surface. Param: picture = pointer from a picture-load call. Thin thunk to fcn.004B7DF0 (byte-verified).
004B53B0,QspriteRegister4Az,void QSprite_Register4AZ(/*14 args*/),Registers a QUAD-SPRITE with full transform data: 14 args; float parameters scaled by constant 0x534AB0; writes sprite tables 0xA84A50/0xA84A58 (verified). Low-level renderer API - map arg layout from
00497E70,TranscontextSetActiveTransContext,void TransContext_SetActiveTransContext(void* ctx),Installs a TRANSFORM CONTEXT as active: copies 0x2A dwords from ctx into global 0xBCAAE0 and bumps state counters at 0x6E5BB0/B4. Param: ctx = transform-context struct (IGIPatch uses this around custo
004B0D40,QHash_ValueSet,void QHash_ValueSet(int* table, char* key, int value),Sets a value in a QHash hash-table (8-byte thunk into the hash engine at 0x4B0D90 family). Pass the table ptr; key string and integer value. Restored after accidental loss during batch rewrite - addre
004B0DB0,QHash_ValueGet,int QHash_ValueGet(int* table, char* key),Gets a value from a QHash hash-table (6-byte getter thunk). Pass table ptr + key string; RETURNS the stored integer. Restored after accidental loss - address pass1-verified.
00415020,DEBUG_KEYS_ENABLE_INVALID,void DEBUG_KEYS_ENABLE_INVALID(),TOMBSTONE - DO NOT INVOKE. The retail debug-keys native address is UNKNOWN. The old value 0x0041502 lies outside .text (0x401000-0x532510) and would crash on invoke; no verified replacement found in i
004B1AC0,QScript_Cleanup,void QScript_Cleanup(int* script),Cleans up/frees a parsed .qsc script structure (pass1: 5 calls; valid exit). Param: script = pointer to the loaded script object. Call when done with a script loaded via the Qvm/Qsc loaders to release
004828D0,Human_FindNextCamera,void Human_FindNextCamera(void* human),Debug camera cycler: advances to the next camera/view target attached to the human player (decompiled body polls input keys). Param: human = human-player pointer. Pass1-verified function start; restor
00041502,DEBUG_KEYS_ENABLE_INVALID,void DEBUG_KEYS_ENABLE_INVALID(),TOMBSTONE - DO NOT INVOKE. Address 0x41502 lies OUTSIDE .text (0x401000-0x532510); invoking would crash. No verified retail replacement found (unknown > fabricated per RE.md). Kept as warning record m
